filename,schema_version,date,parliament_no,session_no,period_no,chamber,page_no,proof
1999-05-26,2.0,1999-05-26,39,1.0,2.0,SENATE,5391.0,0.0
1999-05-27,2.0,1999-05-27,39,1.0,2.0,SENATE,5519.0,0.0
1999-05-31,2.0,1999-05-31,39,1,3,REPS,5495,0.0
1999-06-01,2.0,1999-06-01,39,1,3,REPS,5639,0.0
1999-06-02,2.0,1999-06-02,39,1,3,REPS,5749,0.0
1999-06-03,2.0,1999-06-03,39,1,3,REPS,5935,0.0
1999-06-07,2.0,1999-06-07,39,1,3,REPS,6129,0.0
1999-06-08,2.0,1999-06-08,39,1,3,REPS,6259,0.0
1999-06-09,2.0,1999-06-09,39,1,3,REPS,6417,0.0
1999-06-10,2.0,1999-06-10,39,1,3,REPS,6655,0.0
1999-06-21,2.0,1999-06-21,39,1.0,3.0,SENATE,5689.0,0.0
1999-06-21,2.0,1999-06-21,39,1,3,REPS,6813,0.0
1999-06-22,2.0,1999-06-22,39,1.0,3.0,SENATE,5893.0,0.0
1999-06-22,2.0,1999-06-22,39,1,3,REPS,6979,0.0
1999-06-23,2.0,1999-06-23,39,1.0,3.0,SENATE,6037.0,0.0
1999-06-23,2.0,1999-06-23,39,1,3,REPS,7143,0.0
1999-06-24,2.0,1999-06-24,39,1.0,3.0,SENATE,6251.0,0.0
1999-06-24,2.0,1999-06-24,39,1,3,REPS,7365,0.0
1999-06-25,2.0,1999-06-25,39,1.0,3.0,SENATE,6445.0,0.0
1999-06-28,2.0,1999-06-28,39,1.0,3.0,SENATE,6557.0,0.0
1999-06-28,2.0,1999-06-28,39,1,3,REPS,7549,0.0
1999-06-29,2.0,1999-06-29,39,1.0,3.0,SENATE,6717.0,0.0
1999-06-29,2.0,1999-06-29,39,1,4,REPS,7677,0.0
1999-06-30,2.0,1999-06-30,39,1.0,3.0,SENATE,6837.0,0.0
1999-06-30,2.0,1999-06-30,39,1,3,REPS,7851,0.0
1999-08-09,2.0,1999-08-09,39,1.0,4.0,SENATE,6995.0,0.0
1999-08-09,2.0,1999-08-09,39,1,4,REPS,8061,0.0
1999-08-10,2.0,1999-08-10,39,1.0,4.0,SENATE,7099.0,0.0
1999-08-10,2.0,1999-08-10,39,1,4,REPS,8237,0.0
1999-08-11,2.0,1999-08-11,39,1.0,4.0,SENATE,7221.0,0.0
1999-08-11,2.0,1999-08-11,39,1,4,REPS,8355,0.0
1999-08-12,2.0,1999-08-12,39,1.0,4.0,SENATE,7347.0,0.0
1999-08-12,2.0,1999-08-12,39,1,4,REPS,8579,0.0
1999-08-23,2.0,1999-08-23,39,1.0,4.0,SENATE,7463.0,0.0
1999-08-23,2.0,1999-08-23,39,1,4,REPS,8765,0.0
1999-08-24,2.0,1999-08-24,39,1.0,4.0,SENATE,7589.0,0.0
1999-08-24,2.0,1999-08-24,39,1,4,REPS,8889,0.0
1999-08-25,2.0,1999-08-25,39,1.0,4.0,SENATE,7659.0,0.0
1999-08-25,2.0,1999-08-25,39,1,4,REPS,8991,0.0
1999-08-26,2.0,1999-08-26,39,1.0,4.0,SENATE,7789.0,0.0
1999-08-26,2.0,1999-08-26,39,1,4,REPS,9173,0.0
1999-08-30,2.0,1999-08-30,39,1.0,4.0,SENATE,7897.0,0.0
1999-08-30,2.0,1999-08-30,39,1,4,REPS,9321,0.0
1999-08-31,2.0,1999-08-31,39,1.0,4.0,SENATE,8003.0,0.0
1999-08-31,2.0,1999-08-31,39,1,4,REPS,9447,0.0
1999-09-01,2.0,1999-09-01,39,1.0,4.0,SENATE,8079.0,0.0
1999-09-01,2.0,1999-09-01,39,1,4,REPS,9565,0.0
1999-09-02,2.0,1999-09-02,39,1.0,4.0,SENATE,8191.0,0.0
1999-09-02,2.0,1999-09-02,39,1,4,REPS,9747,0.0
1999-09-20,2.0,1999-09-20,39,1.0,4.0,SENATE,8345.0,0.0
1999-09-20,2.0,1999-09-20,39,1,4,REPS,9905,0.0
1999-09-21,2.0,1999-09-21,39,1.0,4.0,SENATE,8465.0,0.0
1999-09-21,2.0,1999-09-21,39,1,4,REPS,10025,0.0
1999-09-22,2.0,1999-09-22,39,1.0,4.0,SENATE,8589.0,0.0
1999-09-22,2.0,1999-09-22,39,1,4,REPS,10143,0.0
1999-09-23,2.0,1999-09-23,39,1.0,4.0,SENATE,8747.0,0.0
1999-09-23,2.0,1999-09-23,39,1,4,REPS,10339,0.0
1999-09-27,2.0,1999-09-27,39,1.0,4.0,SENATE,8867.0,0.0
1999-09-27,2.0,1999-09-27,39,1,4,REPS,10495,0.0
1999-09-28,2.0,1999-09-28,39,1.0,4.0,SENATE,9011.0,0.0
1999-09-28,2.0,1999-09-28,39,1,4,REPS,10741,0.0
1999-09-29,2.0,1999-09-29,39,1.0,4.0,SENATE,9091.0,0.0
1999-09-29,2.0,1999-09-29,39,1,4,REPS,10849,0.0
1999-09-30,2.0,1999-09-30,39,1.0,4.0,SENATE,9215.0,0.0
1999-09-30,2.0,1999-09-30,39,1,4,REPS,11031,0.0
1999-10-11,2.0,1999-10-11,39,1.0,4.0,SENATE,9319.0,0.0
1999-10-11,2.0,1999-10-11,39,1,4,REPS,11179,0.0
1999-10-12,2.0,1999-10-12,39,1.0,4.0,SENATE,9431.0,0.0
1999-10-12,2.0,1999-10-12,39,1,4,REPS,11295,0.0
1999-10-13,2.0,1999-10-13,39,1.0,4.0,SENATE,9525.0,0.0
1999-10-13,2.0,1999-10-13,39,1,4,REPS,11411,0.0
1999-10-14,2.0,1999-10-14,39,1.0,4.0,SENATE,9667.0,0.0
1999-10-14,2.0,1999-10-14,39,1,4,REPS,11561,0.0
1999-10-18,2.0,1999-10-18,39,1.0,4.0,SENATE,9789.0,0.0
1999-10-18,2.0,1999-10-18,39,1,4,REPS,11697,0.0
1999-10-19,2.0,1999-10-19,39,1.0,4.0,SENATE,9911.0,0.0
1999-10-19,2.0,1999-10-19,39,1,4,REPS,11817,0.0
1999-10-20,2.0,1999-10-20,39,1.0,4.0,SENATE,9993.0,0.0
1999-10-20,2.0,1999-10-20,39,1,4,REPS,11917,0.0
1999-10-21,2.0,1999-10-21,39,1.0,4.0,SENATE,10125.0,0.0
1999-10-21,2.0,1999-10-21,39,1,4,REPS,12095,0.0
1999-11-22,2.0,1999-11-22,39,1.0,4.0,SENATE,10257.0,0.0
1999-11-22,2.0,1999-11-22,39,1,4,REPS,12237,0.0
1999-11-23,2.0,1999-11-23,39,1.0,4.0,SENATE,10385.0,0.0
1999-11-23,2.0,1999-11-23,39,1,4,REPS,12359,0.0
1999-11-24,2.0,1999-11-24,39,1.0,4.0,SENATE,10507.0,0.0
1999-11-24,2.0,1999-11-24,39,1,4,REPS,12463,0.0
1999-11-25,2.0,1999-11-25,39,1.0,4.0,SENATE,10641.0,0.0
1999-11-25,2.0,1999-11-25,39,1,4,REPS,12611,0.0
1999-11-26,2.0,1999-11-26,39,1.0,4.0,SENATE,10791.0,0.0
1999-11-29,2.0,1999-11-29,39,1.0,4.0,SENATE,10883.0,0.0
1999-11-30,2.0,1999-11-30,39,1.0,4.0,SENATE,10993.0,0.0
1999-12-06,2.0,1999-12-06,39,1.0,4.0,SENATE,11149.0,0.0
1999-12-06,2.0,1999-12-06,39,1,4,REPS,12787,0.0
1999-12-07,2.0,1999-12-07,39,1.0,4.0,SENATE,11285.0,0.0
1999-12-07,2.0,1999-12-07,39,1,4,REPS,12925,0.0
1999-12-08,2.0,1999-12-08,39,1.0,4.0,SENATE,11365.0,0.0
1999-12-08,2.0,1999-12-08,39,1,4,REPS,13015,0.0
1999-12-09,2.0,1999-12-09,39,1.0,4.0,SENATE,11545.0,0.0
1999-12-09,2.0,1999-12-09,39,1,4,REPS,13193,0.0
2000-02-15,2.0,2000-02-15,39,1.0,5.0,SENATE,11735.0,0.0
2000-02-15,2.0,2000-02-15,39,1,5,REPS,3421,0.0
2000-02-16,2.0,2000-02-16,39,1.0,5.0,SENATE,11815.0,0.0
2000-02-16,2.0,2000-02-16,39,1,5,REPS,13513,0.0
2000-02-17,2.0,2000-02-17,39,1.0,5.0,SENATE,11949.0,0.0
2000-02-17,2.0,2000-02-17,39,1,5,REPS,13723,0.0
2000-03-06,2.0,2000-03-06,39,1.0,5.0,SENATE,12081.0,0.0
2000-03-06,2.0,2000-03-06,39,1,5,REPS,13897,0.0
2000-03-07,2.0,2000-03-07,39,1.0,5.0,SENATE,12243.0,0.0
2000-03-07,2.0,2000-03-07,39,1,5,REPS,14019,0.0
2000-03-08,2.0,2000-03-08,39,1.0,5.0,SENATE,12301.0,0.0
2000-03-08,2.0,2000-03-08,39,1,5,REPS,14101,1.0
2000-03-09,2.0,2000-03-09,39,1.0,5.0,SENATE,12463.0,0.0
2000-03-09,2.0,2000-03-09,39,1,5,REPS,14273,0.0
2000-03-13,2.0,2000-03-13,39,1.0,5.0,SENATE,12575.0,0.0
2000-03-13,2.0,2000-03-13,39,1,5,REPS,14401,0.0
2000-03-14,2.0,2000-03-14,39,1.0,5.0,SENATE,12695.0,0.0
2000-03-14,2.0,2000-03-14,39,1,5,REPS,14591,0.0
2000-03-15,2.0,2000-03-15,39,1.0,5.0,SENATE,12781.0,0.0
2000-03-15,2.0,2000-03-15,39,1,5,REPS,14701,0.0
2000-03-16,2.0,2000-03-16,39,1.0,5.0,SENATE,12941.0,0.0
2000-03-16,2.0,2000-03-16,39,1,5,REPS,845,0.0
2000-04-03,2.0,2000-04-03,39,1.0,6.0,SENATE,13089.0,0.0
2000-04-03,2.0,2000-04-03,39,1,5,REPS,14987,0.0
2000-04-04,2.0,2000-04-04,39,1.0,5.0,SENATE,13257.0,1.0
2000-04-04,2.0,2000-04-04,39,1,5,REPS,5113,0.0
2000-04-05,2.0,2000-04-05,39,1.0,5.0,SENATE,13343.0,0.0
2000-04-05,2.0,2000-04-05,39,1,5,REPS,15221,0.0
2000-04-06,2.0,2000-04-06,39,1.0,5.0,SENATE,13477.0,1.0
2000-04-06,2.0,2000-04-06,39,1,5,REPS,5389,0.0
2000-04-10,2.0,2000-04-10,39,1.0,5.0,SENATE,13629.0,0.0
2000-04-10,2.0,2000-04-10,39,1,5,REPS,15531,0.0
2000-04-11,2.0,2000-04-11,39,1.0,5.0,SENATE,13777.0,0.0
2000-04-11,2.0,2000-04-11,39,1,5,REPS,5659,0.0
2000-04-12,2.0,2000-04-12,39,1.0,5.0,SENATE,13873.0,0.0
2000-04-12,2.0,2000-04-12,39,1,5,REPS,15749,0.0
2000-04-13,2.0,2000-04-13,39,1.0,5.0,SENATE,4027.0,0.0
2000-04-13,2.0,2000-04-13,39,1,5,REPS,15889,0.0
2000-05-09,2.0,2000-05-09,39,1.0,6.0,SENATE,14161.0,0.0
2000-05-09,2.0,2000-05-09,39,1,6,REPS,16039,0.0
2000-05-10,2.0,2000-05-10,39,1.0,6.0,SENATE,14243.0,0.0
2000-05-10,2.0,2000-05-10,39,1,6,REPS,16123,0.0
2000-05-11,2.0,2000-05-11,39,1.0,6.0,SENATE,14373.0,0.0
