unique_id,name_id,state_abbrev,senator_from,senator_to,senator_end_reason,sec15_sel
Colbeck1958,00AOL,TAS,2002-02-04,2016-07-02,Defeated,1.0
Colbeck1958,00AOL,TAS,2018-02-09,,,0.0
Cole1908,K6W,TAS,1949-12-10,1965-06-30,Defeated,0.0
Colebatch1872,K7F,WA,1929-07-01,1933-03-20,Resigned,0.0
Coleman1931,5V4,WA,1974-05-18,1987-06-05,Retired,0.0
Collard1936,K7H,QLD,1975-12-13,1987-06-05,Retired,0.0
Collett1877,K7M,WA,1933-04-06,1947-06-30,Defeated,1.0
Collings1865,K7P,QLD,1932-07-01,1950-06-30,Retired,0.0
Collins1946,OF4,NT,1987-07-11,1998-03-30,Resigned,0.0
Collins1962,GB6,VIC,1995-05-03,2005-06-30,Defeated,1.0
Collins1962,GB6,VIC,2008-05-08,2019-02-15,Resigned,1.0
Colston1938,PF4,QLD,1975-12-13,1999-06-30,Retired,0.0
Conroy1963,3L6,VIC,1996-04-30,2016-09-30,Resigned,1.0
Cook1943,RF4,WA,1983-03-05,2005-06-30,Retired,0.0
Cooke1904,JQN,WA,1947-07-01,1951-03-19,Defeated,0.0
Cooke1904,JQN,WA,1952-02-07,1965-06-30,Defeated,1.0
Coonan1947,2M6,NSW,1996-07-01,2011-08-22,Resigned,0.0
Cooney1934,SF4,VIC,1984-12-01,2002-06-30,Retired,0.0
Cooper1888,JQP,QLD,1928-11-17,1932-06-30,Defeated,0.0
Cooper1888,JQP,QLD,1935-07-01,1968-06-30,Retired,0.0
Cormack1906,JQQ,VIC,1951-04-28,1953-06-30,Defeated,0.0
Cormack1906,JQQ,VIC,1962-07-01,1978-06-30,Retired,0.0
Cormann1970,HDA,WA,2007-06-19,,Resigned,1.0
Cotton1915,JQR,NSW,1965-08-04,1978-07-13,Resigned,1.0
Coulter1930,TF4,SA,1987-07-11,1995-11-20,Resigned,0.0
Courtenay1879,JQW,NSW,1935-07-01,1935-07-11,Died,0.0
Courtice1885,JQY,QLD,1937-09-02,1962-06-30,Retired,1.0
Cox1863,JRT,NSW,1920-07-01,1938-06-30,Retired,0.0
Cox1977,,WA,2021-10-19,,,1.0
Crane1941,UW4,WA,1990-07-01,2002-06-30,Defeated,0.0
Crawford1865,JRW,QLD,1917-07-01,1947-06-30,Retired,0.0
CrichtonBrowne1944,XF4,WA,1981-07-01,1996-06-30,Retired,0.0
Critchley1892,JSB,SA,1947-07-01,1959-06-30,Retired,0.0
Croft1871,JTH,WA,1904-01-01,1910-06-30,Retired,0.0
Crossin1956,7Y6,NT,1998-06-16,2013-09-06,Retired,1.0
Crowley1938,ZF4,SA,1983-03-05,2002-06-30,Retired,0.0
Culleton1964,266482,WA,2016-07-02,2017-01-11,Bankrupt,0.0
Cunningham1879,JTK,WA,1937-10-23,1943-07-04,Died,0.0
Daly1891,JTL,SA,1928-11-17,1935-06-30,Retired,0.0
Darcey1870,JTR,TAS,1938-07-01,1944-06-30,Defeated,0.0
Dastyari1983,225099,NSW,2013-08-21,2018-01-25,Resigned,1.0
Davey1972,281697,NSW,2019-07-01,,,0.0
Davidson1915,JTT,SA,1961-09-28,1961-12-08,Term Expired,1.0
Davidson1915,JTT,SA,1962-02-08,1962-06-30,Retired,1.0
Davidson1915,JTT,SA,1965-07-01,1981-06-30,Retired,0.0
Dawson1863,JTV,QLD,1901-03-30,1906-12-31,Defeated,0.0
Day1952,HYG,SA,2014-07-01,2016-11-01,Resigned,0.0
Dein1889,JUD,NSW,1935-07-01,1941-06-30,Defeated,0.0
deLargie1859,JU7,WA,1901-03-29,1923-06-30,Defeated,0.0
Denman1937,FY5,TAS,1993-08-24,2005-06-30,Retired,1.0
Devereux1946,1G4,TAS,1987-07-11,1996-02-07,Resigned,0.0
Devitt1921,JUH,TAS,1965-07-01,1978-06-30,Retired,0.0
Devlin1898,JUL,VIC,1946-09-28,1957-05-26,Died,0.0
Devlin1926,JUI,TAS,1984-12-01,1990-06-30,Retired,0.0
DiNatale1970,53369,VIC,2011-07-01,2020-08-26,Resigned,0.0
DiNatale1970,53369,VIC,2015-05-05,2020-02-03,Resigned,
Dittmer1904,JUM,QLD,1959-07-01,1971-06-30,Retired,0.0
Dobson1841,JVC,TAS,1901-03-29,1910-06-30,Defeated,0.0
Dodson1948,SR5,WA,2016-04-28,,,1.0
Dooley1884,JVF,NSW,1928-11-17,1935-06-30,Defeated,0.0
Downer1843,JVG,SA,1901-03-30,1903-12-31,Retired,0.0
